학교명,주소,경도,위도
서울시립대학교,서울 동대문구 서울시립대로 163 (전농동 90번지) ,127.0608644,37.58301804
서울여자대학교,서울특별시 노원구 화랑로 621 서울여자대학교,127.0904758,37.62932172
성공회대학교,서울 구로구 항동 성공회대학교,126.8259374,37.48108349
성균관대학교,서울 종로구 명륜동3가 성균관대학교,127.2733254,37.01507043
성신여자대학교,서울 성북구 동선동3가 성신여자대학교,127.198067,37.5843394
세종대학교,서울 광진구 군자동 세종대학교,127.073825,37.55327456
숙명여자대학교,서울 용산구 청파로47길 100 숙명여자대학교,126.9657682,37.54597494
숭실대학교,서울 동작구 상도동 511 숭실대학교,126.957198,37.49634372
연세대학교,서울 서대문구 신촌동 연세대학교,126.9392712,37.56516193
이화여자대학교,서울 서대문구 대현동 11-1 이화여자대학교,126.9474281,37.5625504
장로회신학대학교,서울 광진구 광장로 5길 25-1(광장동) 장로회신학대학교,127.1030015,37.54975194
중앙대학교 서울캠퍼스,서울 동작구 흑석로 84,126.9578565,37.50407107
총신대학교,서울 동작구 사당동 산31-3,126.9671024,37.49075065
추계예술대학교,서울 서대문구 북아현동 190-1 추계예술대학교,126.9533017,37.56270264
한국성서대학교,서울 노원구 상계7동 한국성서대학교,127.0722769,37.66636668
한국외국어대학교,서울 동대문구 이문로 107,127.056986,37.5979456
한국체육대학교,서울 송파구 오륜동 한국체육대학교,127.1272223,37.51632496
한성대학교,서울 성북구 삼선동3가 389 한성대학교,127.0160798,37.58633878
한양대학교,서울특별시 성동구 왕십리로 222 ,127.0482297,37.55827566
한영신학대학교,서울 구로구 경인로 290-42  한영신학대학교,126.8517298,37.49661393
홍익대학교,서울특별시 마포구 와우산로 94(상수동),126.9272223,37.55147166
감리교신학대학교,서울 서대문구 냉천동 감리교신학대학,128.5700375,35.55942119
건국대학교,서울 광진구 화양동,127.0730799,37.54361035
경기대학교,서울 서대문구 경기대로9길 24 경기대학교,126.9622293,37.56447707
경희대학교,서울 동대문구 회기동 경희대학교,127.0509581,37.59453657
고려대학교,서울 성북구 안암동 고려대학교,127.0214784,37.58870137
광운대학교,서울특별시 노원구 월계동 447-1,127.0596443,37.61969406
국민대학교,서울 성북구 정릉3동 국민대학교,126.9972712,37.61677268
그리스도대학교,서울 강서구 화곡6동 그리스도대학교,126.8441304,37.54216688
덕성여자대학교,서울특별시 도봉구 삼양로 144길 33,127.018341,37.65089321
동국대학교,서울 중구 필동3가 동국대학교,126.9966242,37.55777004
동덕여자대학교,서울 성북구 하월곡2동 동덕여자대학교,129.3482849,35.57837808
명지대학교 인문캠퍼스,서울 서대문구 남가좌동 50-3,126.9230947,37.5802157
삼육대학교,서울시 노원구 화랑로 815(공릉2동 26-21),127.1054211,37.6450008
상명대학교,서울 종로구 홍지동 상명대학교,126.9989704,37.57067532
서강대학교,서울 마포구 신수동 서강대학교,126.9363438,37.54799414
서경대학교,서울 성북구 정릉4동 서경대학교,126.9972712,37.61677268
서울과학기술대학교,서울 노원구 공릉로 232 (공릉동 172),127.0809231,37.63380173
서울기독대학교,서울 은평구 갈현로 4길 26-2호,126.9121925,37.60075749
서울대학교,서울 관악구 관악로 1 서울대학교,126.9502884,37.45425061